2022-12-29 14:48:02 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 14:48:02 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 14:48:02 | INFO     | DF | Loading model settings of output
2022-12-29 14:48:02 | INFO     | DF | Running on device cuda:0
2022-12-29 14:48:02 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 14:48:04 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train
2022-12-29 14:48:04 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 15:06:40 | INFO     | DF | [0] [14600/19999] | loss:  0.01290 | lr:  1.973E-04
2022-12-29 15:06:49 | INFO     | DF | [0] [14700/19999] | loss:  0.01021 | lr:  1.980E-04
2022-12-29 15:06:57 | INFO     | DF | [0] [14800/19999] | loss:  0.01166 | lr:  1.987E-04
2022-12-29 15:07:05 | INFO     | DF | [0] [14900/19999] | loss:  0.00965 | lr:  1.993E-04
2022-12-29 15:07:12 | INFO     | DF | [0] [15000/19999] | loss:  0.00859 | lr:  2.000E-04
2022-12-29 15:07:20 | INFO     | DF | [0] [15100/19999] | loss:  0.01170 | lr:  2.007E-04
2022-12-29 15:07:28 | INFO     | DF | [0] [15200/19999] | loss:  0.00775 | lr:  2.013E-04
2022-12-29 15:07:36 | INFO     | DF | [0] [15300/19999] | loss:  0.00950 | lr:  2.020E-04
2022-12-29 15:07:43 | INFO     | DF | [0] [15400/19999] | loss:  0.01294 | lr:  2.027E-04
2022-12-29 15:07:51 | INFO     | DF | [0] [15500/19999] | loss:  0.01166 | lr:  2.033E-04
2022-12-29 15:07:59 | INFO     | DF | [0] [15600/19999] | loss:  0.00872 | lr:  2.040E-04
2022-12-29 15:08:07 | INFO     | DF | [0] [15700/19999] | loss:  0.00850 | lr:  2.047E-04
2022-12-29 15:08:14 | INFO     | DF | [0] [15800/19999] | loss:  0.00840 | lr:  2.053E-04
2022-12-29 15:08:22 | INFO     | DF | [0] [15900/19999] | loss:  0.00869 | lr:  2.060E-04
2022-12-29 15:08:29 | INFO     | DF | [0] [16000/19999] | loss:  0.01000 | lr:  2.067E-04
2022-12-29 15:08:36 | INFO     | DF | [0] [16100/19999] | loss:  0.00979 | lr:  2.073E-04
2022-12-29 15:08:44 | INFO     | DF | [0] [16200/19999] | loss:  0.01456 | lr:  2.080E-04
2022-12-29 15:08:51 | INFO     | DF | [0] [16300/19999] | loss:  0.00849 | lr:  2.087E-04
2022-12-29 15:08:59 | INFO     | DF | [0] [16400/19999] | loss:  0.00950 | lr:  2.093E-04
2022-12-29 15:09:06 | INFO     | DF | [0] [16500/19999] | loss:  0.00873 | lr:  2.100E-04
2022-12-29 15:09:13 | INFO     | DF | [0] [16600/19999] | loss:  0.00863 | lr:  2.107E-04
2022-12-29 15:09:21 | INFO     | DF | [0] [16700/19999] | loss:  0.00885 | lr:  2.113E-04
2022-12-29 15:09:28 | INFO     | DF | [0] [16800/19999] | loss:  0.00905 | lr:  2.120E-04
2022-12-29 15:09:35 | INFO     | DF | [0] [16900/19999] | loss:  0.00775 | lr:  2.127E-04
2022-12-29 15:09:43 | INFO     | DF | [0] [17000/19999] | loss:  0.00789 | lr:  2.133E-04
2022-12-29 15:09:50 | INFO     | DF | [0] [17100/19999] | loss:  0.00874 | lr:  2.140E-04
2022-12-29 15:09:58 | INFO     | DF | [0] [17200/19999] | loss:  0.01202 | lr:  2.147E-04
2022-12-29 15:10:05 | INFO     | DF | [0] [17300/19999] | loss:  0.01706 | lr:  2.153E-04
2022-12-29 15:10:13 | INFO     | DF | [0] [17400/19999] | loss:  0.00802 | lr:  2.160E-04
2022-12-29 15:10:21 | INFO     | DF | [0] [17500/19999] | loss:  0.00809 | lr:  2.167E-04
2022-12-29 15:10:29 | INFO     | DF | [0] [17600/19999] | loss:  0.00973 | lr:  2.173E-04
2022-12-29 15:10:36 | INFO     | DF | [0] [17700/19999] | loss:  0.00934 | lr:  2.180E-04
2022-12-29 15:10:44 | INFO     | DF | [0] [17800/19999] | loss:  0.01229 | lr:  2.187E-04
2022-12-29 15:10:52 | INFO     | DF | [0] [17900/19999] | loss:  0.00961 | lr:  2.193E-04
2022-12-29 15:11:00 | INFO     | DF | [0] [18000/19999] | loss:  0.00967 | lr:  2.200E-04
2022-12-29 15:11:07 | INFO     | DF | [0] [18100/19999] | loss:  0.00838 | lr:  2.207E-04
2022-12-29 15:11:15 | INFO     | DF | [0] [18200/19999] | loss:  0.00857 | lr:  2.213E-04
2022-12-29 15:11:22 | INFO     | DF | [0] [18300/19999] | loss:  0.00811 | lr:  2.220E-04
2022-12-29 15:11:30 | INFO     | DF | [0] [18400/19999] | loss:  0.00876 | lr:  2.227E-04
2022-12-29 15:11:37 | INFO     | DF | [0] [18500/19999] | loss:  0.00918 | lr:  2.233E-04
2022-12-29 15:11:45 | INFO     | DF | [0] [18600/19999] | loss:  0.00836 | lr:  2.240E-04
2022-12-29 15:11:52 | INFO     | DF | [0] [18700/19999] | loss:  0.01050 | lr:  2.247E-04
2022-12-29 15:12:00 | INFO     | DF | [0] [18800/19999] | loss:  0.01027 | lr:  2.253E-04
2022-12-29 15:12:08 | INFO     | DF | [0] [18900/19999] | loss:  0.00761 | lr:  2.260E-04
2022-12-29 15:12:15 | INFO     | DF | [0] [19000/19999] | loss:  0.01212 | lr:  2.267E-04
2022-12-29 15:12:23 | INFO     | DF | [0] [19100/19999] | loss:  0.00854 | lr:  2.273E-04
2022-12-29 15:12:31 | INFO     | DF | [0] [19200/19999] | loss:  0.00871 | lr:  2.280E-04
2022-12-29 15:12:38 | INFO     | DF | [0] [19300/19999] | loss:  0.00853 | lr:  2.287E-04
2022-12-29 15:12:47 | INFO     | DF | [0] [19400/19999] | loss:  0.00824 | lr:  2.293E-04
2022-12-29 15:12:55 | INFO     | DF | [0] [19500/19999] | loss:  0.01612 | lr:  2.300E-04
2022-12-29 15:13:02 | INFO     | DF | [0] [19600/19999] | loss:  0.00905 | lr:  2.307E-04
2022-12-29 15:13:10 | INFO     | DF | [0] [19700/19999] | loss:  0.00754 | lr:  2.313E-04
2022-12-29 15:13:18 | INFO     | DF | [0] [19800/19999] | loss:  0.00814 | lr:  2.320E-04
2022-12-29 15:13:25 | INFO     | DF | [0] [19900/19999] | loss:  0.00705 | lr:  2.327E-04
2022-12-29 15:13:33 | INFO     | DF | [0] [train] | loss:  0.01573 | lr:  2.333E-04
2022-12-29 15:13:33 | INFO     | DF | Writing checkpoint /home/peterrc/Documents/output/checkpoints/model_1.ckpt with epoch 1
2022-12-29 15:13:33 | INFO     | DF | Writing checkpoint /home/peterrc/Documents/output/checkpoints/opt_1.ckpt with epoch 1
2022-12-29 15:13:33 | INFO     | DF | Start valid epoch 0 with batch size 1
2022-12-29 15:13:33 | INFO     | DF | [0] [    0/19999] | loss:  0.01911
2022-12-29 15:13:39 | INFO     | DF | [0] [  100/19999] | loss:  0.02956
2022-12-29 15:13:44 | INFO     | DF | [0] [  200/19999] | loss:  0.01676
2022-12-29 15:13:49 | INFO     | DF | [0] [  300/19999] | loss:  0.01738
2022-12-29 15:13:55 | INFO     | DF | [0] [  400/19999] | loss:  0.01620
2022-12-29 15:14:00 | INFO     | DF | [0] [  500/19999] | loss:  0.01590
2022-12-29 15:14:05 | INFO     | DF | [0] [  600/19999] | loss:  0.02052
2022-12-29 15:14:10 | INFO     | DF | [0] [  700/19999] | loss:  0.01867
2022-12-29 15:14:15 | INFO     | DF | [0] [  800/19999] | loss:  0.01763
2022-12-29 15:14:19 | INFO     | DF | [0] [  900/19999] | loss:  0.01602
2022-12-29 15:14:24 | INFO     | DF | [0] [ 1000/19999] | loss:  0.01961
2022-12-29 15:14:28 | INFO     | DF | [0] [ 1100/19999] | loss:  0.01902
2022-12-29 15:14:33 | INFO     | DF | [0] [ 1200/19999] | loss:  0.01738
2022-12-29 15:14:38 | INFO     | DF | [0] [ 1300/19999] | loss:  0.02024
2022-12-29 15:14:42 | INFO     | DF | [0] [ 1400/19999] | loss:  0.02456
2022-12-29 15:14:47 | INFO     | DF | [0] [ 1500/19999] | loss:  0.01973
2022-12-29 15:14:52 | INFO     | DF | [0] [ 1600/19999] | loss:  0.01792
2022-12-29 15:14:56 | INFO     | DF | [0] [ 1700/19999] | loss:  0.01763
2022-12-29 15:15:01 | INFO     | DF | [0] [ 1800/19999] | loss:  0.02007
2022-12-29 15:15:05 | INFO     | DF | [0] [ 1900/19999] | loss:  0.03095
2022-12-29 15:15:09 | INFO     | DF | [0] [ 2000/19999] | loss:  0.01686
2022-12-29 15:15:14 | INFO     | DF | [0] [ 2100/19999] | loss:  0.02029
2022-12-29 15:15:18 | INFO     | DF | [0] [ 2200/19999] | loss:  0.01733
2022-12-29 15:15:23 | INFO     | DF | [0] [ 2300/19999] | loss:  0.01887
2022-12-29 15:15:27 | INFO     | DF | [0] [ 2400/19999] | loss:  0.01725
2022-12-29 15:15:32 | INFO     | DF | [0] [ 2500/19999] | loss:  0.02102
2022-12-29 15:15:36 | INFO     | DF | [0] [ 2600/19999] | loss:  0.01901
2022-12-29 15:15:40 | INFO     | DF | [0] [ 2700/19999] | loss:  0.01885
2022-12-29 15:15:45 | INFO     | DF | [0] [ 2800/19999] | loss:  0.01937
2022-12-29 15:15:49 | INFO     | DF | [0] [ 2900/19999] | loss:  0.02739
2022-12-29 15:15:54 | INFO     | DF | [0] [ 3000/19999] | loss:  0.02372
2022-12-29 15:15:58 | INFO     | DF | [0] [ 3100/19999] | loss:  0.02067
2022-12-29 15:16:03 | INFO     | DF | [0] [ 3200/19999] | loss:  0.02046
2022-12-29 15:16:07 | INFO     | DF | [0] [ 3300/19999] | loss:  0.01639
2022-12-29 15:16:11 | INFO     | DF | [0] [ 3400/19999] | loss:  0.01271
