2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:36:44 | INFO     | DF | [0] [ 6900/19999] | loss:  0.01400 | lr:  1.460E-04
2022-12-29 11:36:51 | INFO     | DF | [0] [ 7000/19999] | loss:  0.01752 | lr:  1.467E-04
2022-12-29 11:36:58 | INFO     | DF | [0] [ 7100/19999] | loss:  0.01404 | lr:  1.473E-04
2022-12-29 11:37:05 | INFO     | DF | [0] [ 7200/19999] | loss:  0.01550 | lr:  1.480E-04
2022-12-29 11:37:12 | INFO     | DF | [0] [ 7300/19999] | loss:  0.01191 | lr:  1.487E-04
2022-12-29 11:37:19 | INFO     | DF | [0] [ 7400/19999] | loss:  0.01735 | lr:  1.493E-04
2022-12-29 11:37:25 | INFO     | DF | [0] [ 7500/19999] | loss:  0.01286 | lr:  1.500E-04
2022-12-29 11:37:32 | INFO     | DF | [0] [ 7600/19999] | loss:  0.01931 | lr:  1.507E-04
2022-12-29 11:37:39 | INFO     | DF | [0] [ 7700/19999] | loss:  0.01798 | lr:  1.513E-04
2022-12-29 11:37:45 | INFO     | DF | [0] [ 7800/19999] | loss:  0.01311 | lr:  1.520E-04
2022-12-29 11:37:52 | INFO     | DF | [0] [ 7900/19999] | loss:  0.01513 | lr:  1.527E-04
2022-12-29 11:37:59 | INFO     | DF | [0] [ 8000/19999] | loss:  0.01493 | lr:  1.533E-04
2022-12-29 11:38:06 | INFO     | DF | [0] [ 8100/19999] | loss:  0.01561 | lr:  1.540E-04
2022-12-29 11:38:12 | INFO     | DF | [0] [ 8200/19999] | loss:  0.01374 | lr:  1.547E-04
2022-12-29 11:38:19 | INFO     | DF | [0] [ 8300/19999] | loss:  0.01699 | lr:  1.553E-04
2022-12-29 11:38:26 | INFO     | DF | [0] [ 8400/19999] | loss:  0.01286 | lr:  1.560E-04
2022-12-29 11:38:32 | INFO     | DF | [0] [ 8500/19999] | loss:  0.01652 | lr:  1.567E-04
2022-12-29 11:38:39 | INFO     | DF | [0] [ 8600/19999] | loss:  0.01219 | lr:  1.573E-04
2022-12-29 11:38:45 | INFO     | DF | [0] [ 8700/19999] | loss:  0.01442 | lr:  1.580E-04
2022-12-29 11:38:52 | INFO     | DF | [0] [ 8800/19999] | loss:  0.01439 | lr:  1.587E-04
2022-12-29 11:38:59 | INFO     | DF | [0] [ 8900/19999] | loss:  0.01363 | lr:  1.593E-04
2022-12-29 11:39:06 | INFO     | DF | [0] [ 9000/19999] | loss:  0.01467 | lr:  1.600E-04
